2025-10-10 09:37:16,297 INFO    MainThread:2949 [wandb_setup.py:_flush():79] Current SDK version is 0.18.3
2025-10-10 09:37:16,298 INFO    MainThread:2949 [wandb_setup.py:_flush():79] Configure stats pid to 2949
2025-10-10 09:37:16,298 INFO    MainThread:2949 [wandb_setup.py:_flush():79] Loading settings from /root/.config/wandb/settings
2025-10-10 09:37:16,298 INFO    MainThread:2949 [wandb_setup.py:_flush():79] Loading settings from /root/home/MicroMind/trainer/wandb/settings
2025-10-10 09:37:16,298 INFO    MainThread:2949 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2025-10-10 09:37:16,298 INFO    MainThread:2949 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2025-10-10 09:37:16,298 INFO    MainThread:2949 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'trainer/train_pretrain.py', 'program_abspath': '/root/home/MicroMind/trainer/train_pretrain.py', 'program': '/root/home/MicroMind/trainer/train_pretrain.py'}
2025-10-10 09:37:16,298 INFO    MainThread:2949 [wandb_setup.py:_flush():79] Applying login settings: {}
2025-10-10 09:37:16,298 INFO    MainThread:2949 [wandb_init.py:_log_setup():532] Logging user logs to /root/home/MicroMind/trainer/wandb/run-20251010_093716-0iop6eg4/logs/debug.log
2025-10-10 09:37:16,298 INFO    MainThread:2949 [wandb_init.py:_log_setup():533] Logging internal logs to /root/home/MicroMind/trainer/wandb/run-20251010_093716-0iop6eg4/logs/debug-internal.log
2025-10-10 09:37:16,299 INFO    MainThread:2949 [wandb_init.py:init():617] calling init triggers
2025-10-10 09:37:16,299 INFO    MainThread:2949 [wandb_init.py:init():624] wandb.init called with sweep_config: {}
config: {}
2025-10-10 09:37:16,299 INFO    MainThread:2949 [wandb_init.py:init():667] starting backend
2025-10-10 09:37:16,299 INFO    MainThread:2949 [wandb_init.py:init():671] sending inform_init request
2025-10-10 09:37:16,301 INFO    MainThread:2949 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-10-10 09:37:16,302 INFO    MainThread:2949 [wandb_init.py:init():684] backend started and connected
2025-10-10 09:37:16,305 INFO    MainThread:2949 [wandb_init.py:init():779] updated telemetry
2025-10-10 09:37:16,315 INFO    MainThread:2949 [wandb_init.py:init():812] communicating run to backend with 90.0 second timeout
2025-10-10 09:38:33,408 INFO    MainThread:2949 [wandb_init.py:init():863] starting run threads in backend
2025-10-10 09:38:33,560 INFO    MainThread:2949 [wandb_run.py:_console_start():2465] atexit reg
2025-10-10 09:38:33,560 INFO    MainThread:2949 [wandb_run.py:_redirect():2313] redirect: wrap_raw
2025-10-10 09:38:33,560 INFO    MainThread:2949 [wandb_run.py:_redirect():2378] Wrapping output streams.
2025-10-10 09:38:33,560 INFO    MainThread:2949 [wandb_run.py:_redirect():2403] Redirects installed.
2025-10-10 09:38:33,562 INFO    MainThread:2949 [wandb_init.py:init():907] run started, returning control to user process
2025-10-10 10:28:58,866 WARNING MsgRouterThr:2949 [router.py:message_loop():77] message_loop has been closed
